,boosting_type,learning_rate,max_depth,n_estimators,num_leaves,fit_time,target
1498,dart,0.1,-1,50,4,0.007916021347045898,-0.18449541657855803
1274,dart,0.1,3,50,4,0.005901265144348145,-0.18449541657855803
1358,dart,0.1,6,50,4,0.01943683624267578,-0.18449541657855803
1414,dart,0.1,8,50,4,0.009688067436218261,-0.18449541657855803
1749,dart,0.2,-1,25,256,0.12117738723754883,-0.18426728736737574
482,gbdt,0.2,-1,10,256,0.0219677209854126,-0.18366464526336473
734,gbdt,0.3,-1,10,256,0.024191904067993163,-0.18331889486173716
2246,dart,0.4,-1,10,256,0.0551814079284668,-0.18330583196008804
223,gbdt,0.1,10,100,256,0.22583837509155275,-0.1832198021234217
1980,dart,0.3,10,50,256,0.1933206796646118,-0.1828904806160489
216,gbdt,0.1,10,50,256,0.09043095111846924,-0.1824627605034292
1469,dart,0.1,10,25,256,0.41525940895080565,-0.18241051764228142
237,gbdt,0.1,-1,25,256,0.04929862022399902,-0.1823223301981883
1502,dart,0.1,-1,50,64,0.05827276706695557,-0.1822029037686377
475,gbdt,0.2,10,100,256,0.1869220733642578,-0.18212537785332678
468,gbdt,0.2,10,50,256,0.09107027053833008,-0.18212321823299202
1994,dart,0.3,-1,10,256,0.04890024662017822,-0.18189009360487585
461,gbdt,0.2,10,25,256,0.04739229679107666,-0.18156979888641783
1727,dart,0.2,10,50,128,0.20853512287139891,-0.18156035478778607
1509,dart,0.1,-1,100,64,0.26419045925140383,-0.18124365873325085
454,gbdt,0.2,10,10,256,0.020067048072814942,-0.18095269943647768
1952,dart,0.3,9,50,256,0.13531382083892823,-0.18089709457371503
1474,dart,0.1,10,50,64,0.051690983772277835,-0.18038391053624833
1496,dart,0.1,-1,25,128,0.04626080989837646,-0.1802571849534719
1987,dart,0.3,10,100,256,1.3872784852981568,-0.1801321285212725
1707,dart,0.2,9,100,256,0.260430645942688,-0.18003889864308406
979,gbdt,0.4,10,100,256,0.24191076755523683,-0.18001720569112092
972,gbdt,0.4,10,50,256,0.48245790004730227,-0.1800172056901124
965,gbdt,0.4,10,25,256,0.1517565965652466,-0.1800167645531124
1699,dart,0.2,9,50,128,0.09836986064910888,-0.17968927262962378
2007,dart,0.3,-1,50,128,0.4676957130432129,-0.1793479478187824
958,gbdt,0.4,10,10,256,0.13353338241577148,-0.17913203783294795
209,gbdt,0.1,10,25,256,0.047246360778808595,-0.17889939505125588
1481,dart,0.1,10,100,64,0.10781826972961425,-0.1788314354799811
481,gbdt,0.2,-1,10,128,0.015424704551696778,-0.17881560634963373
1441,dart,0.1,9,25,256,0.059488320350646974,-0.17880719572262102
727,gbdt,0.3,10,100,256,0.19217374324798583,-0.17868391126748395
720,gbdt,0.3,10,50,256,0.09940779209136963,-0.17868390863602027
713,gbdt,0.3,10,25,256,0.05121338367462158,-0.17866402655594682
1721,dart,0.2,10,25,256,0.17113840579986572,-0.17862861244003264
1446,dart,0.1,9,50,64,0.08827669620513916,-0.1786093040273227
1762,dart,0.2,-1,100,128,0.26933143138885496,-0.17847909584940072
1399,dart,0.1,7,100,256,0.17702748775482177,-0.1784004982650612
1398,dart,0.1,7,100,128,0.15422377586364747,-0.1784004982650612
1973,dart,0.3,10,25,256,0.12810113430023193,-0.17824035666349602
1397,dart,0.1,7,100,64,0.39771156311035155,-0.1780725483602337
1468,dart,0.1,10,25,128,0.07834923267364502,-0.17796696812369844
195,gbdt,0.1,9,100,256,0.24929525852203369,-0.17787485530207908
1657,dart,0.2,8,10,128,0.04220452308654785,-0.17770122045934278
1658,dart,0.2,8,10,256,0.046810364723205565,-0.1776840381724907
1418,dart,0.1,8,50,64,0.06925771236419678,-0.17760418985318074
1453,dart,0.1,9,100,64,0.09723165035247802,-0.17746497881451515
2239,dart,0.4,10,100,256,0.47870097160339353,-0.1774474493955505
2232,dart,0.4,10,50,256,0.26566400527954104,-0.1772196371301359
447,gbdt,0.2,9,100,256,0.17194395065307616,-0.17720809252566014
440,gbdt,0.2,9,50,256,0.08366978168487549,-0.17720677770846296
453,gbdt,0.2,10,10,128,0.015012979507446289,-0.17717118800819165
188,gbdt,0.1,9,50,256,0.11102104187011719,-0.17715060252928058
699,gbdt,0.3,9,100,256,0.171467924118042,-0.17709164653927809
692,gbdt,0.3,9,50,256,0.10680856704711914,-0.17709164485805098
685,gbdt,0.3,9,25,256,0.04379801750183106,-0.17707764266921724
1959,dart,0.3,9,100,256,0.41846749782562254,-0.17701224326559353
1945,dart,0.3,9,25,256,0.07613348960876465,-0.176978626140858
1390,dart,0.1,7,50,64,0.09413535594940185,-0.1769363722377114
2204,dart,0.4,9,50,256,0.24247472286224364,-0.17674989639250774
951,gbdt,0.4,9,100,256,0.5717297792434692,-0.1767395473647055
944,gbdt,0.4,9,50,256,0.3106569766998291,-0.17673954736429298
937,gbdt,0.4,9,25,256,0.23579609394073486,-0.17673923872866987
1391,dart,0.1,7,50,128,0.38844115734100343,-0.17673441586883287
1392,dart,0.1,7,50,256,0.06033825874328613,-0.17673441586883287
433,gbdt,0.2,9,25,256,0.04392852783203125,-0.1767176704055535
2491,dart,0.5,10,100,256,0.7268658399581909,-0.17646411745240317
747,gbdt,0.3,-1,50,128,0.0753364086151123,-0.17631836330257303
754,gbdt,0.3,-1,100,128,0.14387476444244385,-0.17631836236309695
426,gbdt,0.2,9,10,256,0.01921851634979248,-0.17631562310625892
740,gbdt,0.3,-1,25,128,0.05173203945159912,-0.17631551845153703
2197,dart,0.4,9,25,256,0.1470400333404541,-0.1762734120021225
2225,dart,0.4,10,25,256,0.14965827465057374,-0.17615199151151895
502,gbdt,0.2,-1,100,128,0.1408853769302368,-0.17614369553238585
495,gbdt,0.2,-1,50,128,0.0853693962097168,-0.17614331698030078
930,gbdt,0.4,9,10,256,0.08731362819671631,-0.17593243985529977
1513,dart,0.2,3,10,8,0.0030762434005737306,-0.17591417441394214
1515,dart,0.2,3,10,32,0.0032787084579467773,-0.17591417441394214
1516,dart,0.2,3,10,64,0.0037863731384277345,-0.17591417441394214
1518,dart,0.2,3,10,256,0.003661441802978516,-0.17591417441394214
1517,dart,0.2,3,10,128,0.0040997743606567385,-0.17591417441394214
1514,dart,0.2,3,10,16,0.0034365415573120116,-0.17591417441394214
250,gbdt,0.1,-1,100,128,0.1414954900741577,-0.1759057224994021
488,gbdt,0.2,-1,25,128,0.03923444747924805,-0.1758829040607942
1425,dart,0.1,8,100,64,0.09964203834533691,-0.17583109704880628
2014,dart,0.3,-1,100,128,0.6620944499969482,-0.17563087178074055
2449,dart,0.5,9,25,256,0.21543049812316895,-0.17557946029525884
2000,dart,0.3,-1,25,128,1.0823695659637451,-0.17555700977790312
2211,dart,0.4,9,100,256,0.4745879411697388,-0.1755569053246708
1196,gbdt,0.5,9,50,256,0.15342679023742675,-0.17552388856326853
1203,gbdt,0.5,9,100,256,0.2399070978164673,-0.17552388856326787
1189,gbdt,0.5,9,25,256,0.10952012538909912,-0.17552388656005502
243,gbdt,0.1,-1,50,128,0.0680159330368042,-0.17550864702300215
706,gbdt,0.3,10,10,256,0.023496222496032716,-0.175437927360013
1182,gbdt,0.5,9,10,256,0.04543755054473877,-0.17538258372182355
2456,dart,0.5,9,50,256,0.3139725923538208,-0.17517662284865024
2504,dart,0.5,-1,25,128,0.11319007873535156,-0.17514350562059935
1734,dart,0.2,10,100,128,0.9119511604309082,-0.17489963184712923
733,gbdt,0.3,-1,10,128,0.017061018943786622,-0.17489305379618642
1440,dart,0.1,9,25,128,0.04650511741638184,-0.1748543997975526
1693,dart,0.2,9,25,256,0.07252883911132812,-0.1747600838619444
1993,dart,0.3,-1,10,128,0.050187301635742185,-0.17474282994875606
2477,dart,0.5,10,25,256,0.16683526039123536,-0.17465560671249894
236,gbdt,0.1,-1,25,128,0.0355781078338623,-0.17463967023861082
1231,gbdt,0.5,10,100,256,0.1661733865737915,-0.17453797345521768
1224,gbdt,0.5,10,50,256,0.3246896743774414,-0.17453797345521765
1217,gbdt,0.5,10,25,256,0.10865197181701661,-0.17453796997396756
2484,dart,0.5,10,50,256,0.41037008762359617,-0.17447761577719445
2463,dart,0.5,9,100,256,0.8609153985977173,-0.1744662162345985
1210,gbdt,0.5,10,10,256,0.04859545230865479,-0.17441661354207255
1748,dart,0.2,-1,25,128,0.07200312614440918,-0.1742777806075148
678,gbdt,0.3,9,10,256,0.019641351699829102,-0.17401987762590745
1251,gbdt,0.5,-1,50,128,0.09029395580291748,-0.17401190036462527
1258,gbdt,0.5,-1,100,128,0.13041248321533203,-0.1740119003646252
1244,gbdt,0.5,-1,25,128,0.04002890586853027,-0.17401189890879626
2442,dart,0.5,9,10,256,0.08274722099304199,-0.17396740897736587
1237,gbdt,0.5,-1,10,128,0.018652510643005372,-0.17394685044932537
1966,dart,0.3,10,10,256,0.04135136604309082,-0.1737221301547567
2497,dart,0.5,-1,10,128,0.10270812511444091,-0.17369461687018936
181,gbdt,0.1,9,25,256,0.06557049751281738,-0.17368451584823147
2511,dart,0.5,-1,50,128,0.27068614959716797,-0.17364193742785747
2190,dart,0.4,9,10,256,0.10361189842224121,-0.1735948724289795
1938,dart,0.3,9,10,256,0.03194150924682617,-0.17352777510678227
999,gbdt,0.4,-1,50,128,0.10163638591766358,-0.17346864790203026
1006,gbdt,0.4,-1,100,128,0.1493152141571045,-0.17346864790116123
992,gbdt,0.4,-1,25,128,0.040237045288085936,-0.1734686393854133
2518,dart,0.5,-1,100,128,0.6372067928314209,-0.17337344273303235
63,gbdt,0.1,5,25,4,0.0029135942459106445,-0.17333157863908322
91,gbdt,0.1,6,25,4,0.002735400199890137,-0.17333157863908322
203,gbdt,0.1,10,25,4,0.003465867042541504,-0.17333157863908322
175,gbdt,0.1,9,25,4,0.006259369850158692,-0.17333157863908322
147,gbdt,0.1,8,25,4,0.0045258522033691405,-0.17333157863908322
231,gbdt,0.1,-1,25,4,0.0031644344329833985,-0.17333157863908322
7,gbdt,0.1,3,25,4,0.004018473625183106,-0.17333157863908322
35,gbdt,0.1,4,25,4,0.0043059587478637695,-0.17333157863908322
119,gbdt,0.1,7,25,4,0.003323078155517578,-0.17333157863908322
2259,dart,0.4,-1,50,128,0.22235827445983886,-0.17326312258779966
985,gbdt,0.4,-1,10,128,0.015226316452026368,-0.173140456466034
2470,dart,0.5,10,10,256,0.057236218452453615,-0.17309251376242496
2218,dart,0.4,10,10,256,0.05172483921051026,-0.17296006999211724
222,gbdt,0.1,10,100,128,0.1428523063659668,-0.17285801736285453
474,gbdt,0.2,10,100,128,0.13649532794952393,-0.17284330326813882
467,gbdt,0.2,10,50,128,0.06690342426300049,-0.17284277981446203
2266,dart,0.4,-1,100,128,0.30406548976898196,-0.17268251764053544
2252,dart,0.4,-1,25,128,0.09609646797180176,-0.17263307624909208
460,gbdt,0.2,10,25,128,0.03563244342803955,-0.17253489075033002
425,gbdt,0.2,9,10,128,0.017712879180908202,-0.1725195063263895
215,gbdt,0.1,10,50,128,0.06784050464630127,-0.17242527625318282
208,gbdt,0.1,10,25,128,0.03658237457275391,-0.1724136696107577
1979,dart,0.3,10,50,128,0.15826139450073243,-0.17222986846984426
1951,dart,0.3,9,50,128,0.1075639009475708,-0.17188897353216565
2245,dart,0.4,-1,10,128,0.03503603935241699,-0.17126694492627137
1706,dart,0.2,9,100,128,0.48494396209716795,-0.170501502067424
936,gbdt,0.4,9,25,128,0.16915059089660645,-0.17040209167250947
943,gbdt,0.4,9,50,128,0.19017515182495118,-0.17040204137004633
950,gbdt,0.4,9,100,128,0.3420641660690308,-0.17040204136722661
1597,dart,0.2,6,10,8,0.002559852600097656,-0.1701452008672527
1709,dart,0.2,10,10,8,0.003280162811279297,-0.1701452008672527
1681,dart,0.2,9,10,8,0.0035003662109375,-0.1701452008672527
1653,dart,0.2,8,10,8,0.003145909309387207,-0.1701452008672527
1625,dart,0.2,7,10,8,0.003061985969543457,-0.1701452008672527
1737,dart,0.2,-1,10,8,0.0035663843154907227,-0.1701452008672527
1569,dart,0.2,5,10,8,0.003577589988708496,-0.1701452008672527
1720,dart,0.2,10,25,128,0.04779009819030762,-0.17014106665671042
929,gbdt,0.4,9,10,128,0.06717243194580078,-0.16994705164482654
1629,dart,0.2,7,10,128,0.013193678855895997,-0.16980619220702756
1630,dart,0.2,7,10,256,0.014367461204528809,-0.16980619220702756
