,max_depth,max_features,max_leaf_nodes,n_estimators,oob_score,fit_time,target
251,3.0,sqrt,,25,False,0.019222092628479005,-0.018717571411684092
836,8.0,sqrt,4.0,50,True,0.040392732620239256,-0.01871476224040312
329,4.0,sqrt,8.0,10,False,0.007893538475036621,-0.01870230556392906
50,2.0,log2,256.0,25,True,0.020776534080505372,-0.018695889452013087
19,2.0,log2,16.0,25,False,0.018483567237854003,-0.018686689995028587
376,4.0,sqrt,,10,True,0.008778619766235351,-0.01867548720199119
55,2.0,log2,256.0,100,False,0.074275541305542,-0.018667453369841366
112,2.0,sqrt,256.0,10,True,0.008634448051452637,-0.018644568161629568
1088,10.0,sqrt,4.0,10,True,0.008370256423950196,-0.018634000310807874
27,2.0,log2,32.0,25,False,0.018575453758239747,-0.018623965630161565
139,3.0,log2,8.0,25,False,0.021002197265625,-0.018622156126847773
109,2.0,sqrt,128.0,50,False,0.038036894798278806,-0.018586604431470893
209,3.0,sqrt,16.0,10,False,0.00756540298461914,-0.018581920858736074
13,2.0,log2,8.0,50,False,0.04149098396301269,-0.018579197831086684
569,6.0,log2,,10,False,0.008311700820922852,-0.018572484937188844
774,8.0,log2,4.0,100,True,0.07830851078033448,-0.018557872550435558
99,2.0,sqrt,64.0,25,False,0.0192521333694458,-0.01854365491311053
248,3.0,sqrt,,10,True,0.008620119094848633,-0.018534816784622717
211,3.0,sqrt,16.0,25,False,0.019841599464416503,-0.01851891302127932
100,2.0,sqrt,64.0,50,True,0.040814661979675294,-0.01851099932331678
92,2.0,sqrt,32.0,50,True,0.04106757640838623,-0.018468186363192824
345,4.0,sqrt,32.0,10,False,0.008031797409057618,-0.018449123399006766
236,3.0,sqrt,128.0,50,True,0.04168400764465332,-0.018440330072589124
216,3.0,sqrt,32.0,10,True,0.008957934379577637,-0.018414655745451786
705,7.0,sqrt,4.0,10,False,0.007400321960449219,-0.01841186562199247
1240,,sqrt,32.0,10,True,0.009032535552978515,-0.018390513583572816
579,6.0,sqrt,4.0,25,False,0.018871641159057616,-0.018382497224270353
82,2.0,sqrt,16.0,25,True,0.021485185623168944,-0.018366972891796927
42,2.0,log2,128.0,25,True,0.020604419708251952,-0.01834167102020503
83,2.0,sqrt,16.0,25,False,0.019483184814453124,-0.018341208268061536
12,2.0,log2,8.0,50,True,0.04089035987854004,-0.018327183680687094
237,3.0,sqrt,128.0,50,False,0.03801348209381104,-0.018311120735691463
425,5.0,log2,128.0,10,False,0.008344507217407227,-0.018302009583628997
224,3.0,sqrt,64.0,10,True,0.009434175491333009,-0.018273860169703688
490,5.0,sqrt,128.0,25,True,0.02192709445953369,-0.01826979644759397
145,3.0,log2,16.0,10,False,0.007720041275024414,-0.018253480576638996
110,2.0,sqrt,128.0,100,True,0.07926433086395264,-0.018246949811877067
81,2.0,sqrt,16.0,10,False,0.008993291854858398,-0.01822902058164576
480,5.0,sqrt,64.0,10,True,0.009056162834167481,-0.018118899424240553
264,4.0,log2,8.0,10,True,0.008626031875610351,-0.01810849520859654
1009,9.0,sqrt,256.0,10,False,0.00995650291442871,-0.018078344762536457
241,3.0,sqrt,256.0,10,False,0.0075091361999511715,-0.01807454799246044
189,3.0,log2,,50,False,0.03874452114105224,-0.01807156589870546
185,3.0,log2,,10,False,0.007514071464538574,-0.018060421427913424
1032,10.0,log2,8.0,10,True,0.00861685276031494,-0.01804248382256659
457,5.0,sqrt,8.0,10,False,0.007553195953369141,-0.018019933188565592
168,3.0,log2,128.0,10,True,0.008714056015014649,-0.01800558440845215
235,3.0,sqrt,128.0,25,False,0.019736576080322265,-0.017986942656597966
178,3.0,log2,256.0,25,True,0.021289420127868653,-0.017958169877095767
304,4.0,log2,256.0,10,True,0.00902860164642334,-0.01794344312795109
242,3.0,sqrt,256.0,25,True,0.020866203308105468,-0.017939357879926565
45,2.0,log2,128.0,50,False,0.03785939216613769,-0.017925744299316836
361,4.0,sqrt,128.0,10,False,0.008507800102233887,-0.017907292811117772
213,3.0,sqrt,16.0,50,False,0.03858175277709961,-0.017905274547119553
49,2.0,log2,256.0,10,False,0.008176708221435547,-0.0179034059872155
648,7.0,log2,8.0,10,True,0.008802556991577148,-0.017884604933720235
585,6.0,sqrt,8.0,10,False,0.00846693515777588,-0.017854239174714036
234,3.0,sqrt,128.0,25,True,0.021240925788879393,-0.0178284763188777
665,7.0,log2,32.0,10,False,0.007875347137451172,-0.017812677709458363
714,7.0,sqrt,8.0,25,True,0.02078733444213867,-0.017791462886738604
433,5.0,log2,256.0,10,False,0.007848215103149415,-0.01778344490279031
244,3.0,sqrt,256.0,50,True,0.04224092960357666,-0.017782067785412234
138,3.0,log2,8.0,25,True,0.021844005584716795,-0.01777906750045888
379,4.0,sqrt,,25,False,0.02107980251312256,-0.017777546397881854
144,3.0,log2,16.0,10,True,0.009094715118408203,-0.01775831857483008
312,4.0,log2,,10,True,0.00868816375732422,-0.01775618308314975
148,3.0,log2,16.0,50,True,0.042014551162719724,-0.01774918475156336
512,6.0,log2,4.0,10,True,0.008178377151489257,-0.01774388329485546
1160,,log2,8.0,10,True,0.008963894844055176,-0.01774385056436788
214,3.0,sqrt,16.0,100,True,0.08122353553771973,-0.01772597696068269
1025,10.0,log2,4.0,10,False,0.0093231201171875,-0.017725320091633096
223,3.0,sqrt,32.0,100,False,0.07564544677734375,-0.017722218122705087
817,8.0,log2,256.0,10,False,0.009482717514038086,-0.017702679016106358
649,7.0,log2,8.0,10,False,0.007395482063293457,-0.017688540551994245
142,3.0,log2,8.0,100,True,0.07906513214111328,-0.017680949351827062
41,2.0,log2,128.0,10,False,0.008268523216247558,-0.01768030314725017
969,9.0,sqrt,8.0,10,False,0.007843756675720214,-0.0176699649939356
231,3.0,sqrt,64.0,100,False,0.07600901126861573,-0.017668710330097006
266,4.0,log2,8.0,25,True,0.02150111198425293,-0.017642422820641622
167,3.0,log2,64.0,100,False,0.07591612339019775,-0.01763963811197691
593,6.0,sqrt,16.0,10,False,0.00807018280029297,-0.01763078242917097
225,3.0,sqrt,64.0,10,False,0.00789332389831543,-0.01761407041232423
330,4.0,sqrt,8.0,25,True,0.020636892318725585,-0.017606179168493986
208,3.0,sqrt,16.0,10,True,0.008764195442199706,-0.017601312439981573
1034,10.0,log2,8.0,25,True,0.02322409152984619,-0.01757330411672334
383,4.0,sqrt,,100,False,0.07691657543182373,-0.017562363459122057
162,3.0,log2,64.0,25,True,0.02326674461364746,-0.017558742453254863
212,3.0,sqrt,16.0,50,True,0.042104339599609374,-0.017556209433126403
857,8.0,sqrt,32.0,10,False,0.00969245433807373,-0.017553016696350798
238,3.0,sqrt,128.0,100,True,0.08108892440795898,-0.017534887480349832
172,3.0,log2,128.0,50,True,0.04141976833343506,-0.017534553652349513
721,7.0,sqrt,16.0,10,False,0.008057141304016113,-0.017531990259218772
289,4.0,log2,64.0,10,False,0.007759189605712891,-0.017526721849347785
506,5.0,sqrt,,25,True,0.022168684005737304,-0.01750912702338885
