,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,time
211,NoneType,False,entropy,8,0.05,17,20,32,14,0.8341901302337646
212,NoneType,False,entropy,8,0.1,3,3,64,14,2.4402670860290527
213,NoneType,False,gini,NoneType,0.05,5,3,16,14,0.5461416244506836
214,NoneType,True,gini,12,0.15000000000000002,2,5,64,14,0.916987419128418
215,NoneType,False,gini,11,0.2,1,2,16,14,0.6257224082946777
216,NoneType,False,entropy,NoneType,0.15000000000000002,1,8,8,14,0.8188707828521729
217,PCA,False,entropy,NoneType,0.1,5,2,512,14,20.360830783843994
218,NoneType,False,entropy,8,0.25,8,3,512,14,38.29745578765869
219,NoneType,True,entropy,8,0.35000000000000003,14,4,512,14,27.96707320213318
220,NoneType,False,gini,NoneType,0.45,3,20,64,14,2.9279565811157227
221,NoneType,True,entropy,11,0.45,20,20,512,14,33.467124938964844
222,NoneType,False,entropy,9,0.25,1,5,256,14,21.146974086761475
223,NoneType,False,entropy,NoneType,0.45,1,10,32,14,5.035895347595215
224,PCA,False,entropy,12,0.1,20,18,8,14,1.1324400901794434
225,PCA,False,entropy,8,0.4,20,3,128,14,14.037837266921997
226,NoneType,False,entropy,9,0.25,3,10,128,14,10.639467239379883
227,NoneType,True,entropy,10,0.25,4,19,64,14,3.421734094619751
228,NoneType,False,entropy,12,0.1,2,18,64,14,2.6241636276245117
229,NoneType,True,entropy,NoneType,0.4,14,2,256,14,10.0
230,NoneType,False,gini,NoneType,0.25,2,20,8,14,0.6187269687652588
231,PCA,False,entropy,8,0.25,16,17,128,14,10.032378196716309
232,PCA,False,gini,NoneType,0.35000000000000003,6,20,8,14,1.0334961414337158
233,NoneType,False,entropy,8,0.45,20,3,512,14,59.03065061569214
234,NoneType,False,gini,8,0.25,18,2,128,14,2.5346529483795166
235,NoneType,False,entropy,10,0.4,2,17,64,14,8.227139949798584
236,NoneType,False,gini,NoneType,0.15000000000000002,7,10,64,14,1.2250759601593018
237,NoneType,False,entropy,NoneType,0.1,1,4,16,14,0.9127898216247559
238,NoneType,False,entropy,12,0.35000000000000003,1,20,512,14,56.406190395355225
239,NoneType,True,entropy,9,0.45,7,20,512,14,39.10595083236694
240,NoneType,False,gini,8,0.05,1,2,128,14,1.0452046394348145
241,PCA,True,gini,8,0.2,1,9,64,14,1.5259194374084473
242,NoneType,True,entropy,8,0.2,1,7,128,14,5.324124336242676
243,NoneType,True,entropy,12,0.4,1,14,128,14,9.959475755691528
244,NoneType,False,gini,NoneType,0.2,3,3,512,14,9.954665422439575
245,NoneType,False,gini,NoneType,0.25,1,14,512,14,2.0
246,NoneType,False,gini,NoneType,0.35000000000000003,2,5,256,14,8.446959733963013
247,PCA,True,gini,8,0.45,2,19,512,14,10.765033721923828
248,PCA,False,entropy,NoneType,0.05,17,10,256,14,5.331536769866943
249,PCA,True,entropy,10,0.45,9,15,256,14,20.017119884490967
250,PCA,False,gini,NoneType,0.45,1,3,256,14,10.869657754898071
251,PCA,False,entropy,NoneType,0.25,20,17,512,14,36.47276020050049
252,PCA,True,entropy,10,0.45,9,15,256,14,20.06782865524292
253,PCA,False,entropy,NoneType,0.05,17,10,256,14,5.3493616580963135
254,NoneType,True,entropy,9,0.25,14,4,8,14,0.6958668231964111
255,PCA,True,gini,NoneType,0.4,2,2,64,14,2.3231818675994873
256,NoneType,True,gini,8,0.35000000000000003,2,17,16,14,0.6230669021606445
257,PCA,False,gini,8,0.25,17,19,8,14,1.0451266765594482
258,NoneType,False,entropy,NoneType,0.15000000000000002,16,11,128,14,5.91206955909729
259,PCA,True,gini,10,0.15000000000000002,3,8,32,14,1.143561601638794
260,NoneType,True,gini,8,0.35000000000000003,2,17,16,14,0.7029035091400146
261,NoneType,True,entropy,NoneType,0.25,1,20,256,14,12.817429065704346
262,PCA,True,gini,NoneType,0.45,11,4,16,14,1.0873098373413086
263,PCA,True,gini,9,0.15000000000000002,2,2,512,14,5.2089524269104
264,PCA,True,gini,9,0.4,1,11,64,14,2.0042507648468018
265,PCA,False,entropy,8,0.45,2,11,512,14,69.49861335754395
266,PCA,True,gini,NoneType,0.45,2,19,32,14,1.5009443759918213
267,NoneType,True,gini,NoneType,0.05,3,16,512,14,2.3039660453796387
268,PCA,True,gini,9,0.15000000000000002,1,2,128,14,1.8890681266784668
269,PCA,False,gini,NoneType,0.3,7,2,128,14,3.702366828918457
270,NoneType,False,gini,10,0.05,5,17,16,14,0.3967721462249756
271,PCA,True,gini,12,0.05,20,17,512,14,2.7700724601745605
272,NoneType,True,gini,8,0.35000000000000003,1,4,256,14,4.432082176208496
273,NoneType,False,entropy,12,0.45,12,3,512,14,64.43013429641724
274,PCA,False,entropy,NoneType,0.45,19,19,128,14,15.951097011566162
275,PCA,True,entropy,8,0.2,13,20,512,14,19.06655192375183
276,NoneType,True,gini,9,0.25,20,8,512,14,5.754060983657837
277,NoneType,False,entropy,NoneType,0.2,1,10,64,14,4.831953287124634
278,NoneType,True,entropy,NoneType,0.45,3,2,512,14,42.59615135192871
279,PCA,False,gini,11,0.45,6,2,8,14,1.0314533710479736
280,PCA,False,gini,10,0.05,16,2,256,14,2.113098382949829
281,NoneType,True,entropy,NoneType,0.2,1,19,8,14,0.7164440155029297
282,PCA,False,entropy,NoneType,0.45,18,15,16,14,2.832627773284912
283,PCA,True,entropy,8,0.1,18,8,64,14,2.11751389503479
284,NoneType,False,entropy,NoneType,0.45,4,9,32,14,4.9066972732543945
285,NoneType,False,gini,NoneType,0.45,1,13,16,14,1.1185965538024902
286,NoneType,True,gini,NoneType,0.45,5,19,512,14,11.432185411453247
287,NoneType,True,entropy,8,0.2,2,2,512,14,20.251305103302002
288,PCA,False,entropy,10,0.05,1,11,8,14,0.933326005935669
289,NoneType,False,entropy,11,0.05,20,19,16,14,0.5920376777648926
290,PCA,True,entropy,10,0.4,16,2,512,14,32.384135007858276
291,NoneType,False,gini,NoneType,0.15000000000000002,19,4,16,14,0.5149695873260498
292,PCA,True,gini,NoneType,0.05,7,20,128,14,1.3079378604888916
293,PCA,True,gini,NoneType,0.05,9,6,128,14,1.4239745140075684
294,NoneType,False,gini,8,0.3,18,14,32,14,1.0296571254730225
295,NoneType,True,entropy,8,0.05,1,20,256,14,3.019787073135376
296,PCA,True,entropy,NoneType,0.45,1,7,8,14,1.5132834911346436
